file,,name,,tag1,tag2,tag3,tag4,,tag5,tag6,tag7,tag8,tag9
Afghanistan.svg,,Afghanistan,,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,emblem,
Albania.svg,,Albania,,europe,europeDisputed,europeTerritories,europeAll,,,,,,
Algeria.svg,,Algeria,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Andorra.svg,,Andorra,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,emblem,
Angola.svg,,Angola,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Antigua_and_Barbuda.svg,,Antigua and Barbuda,,na,,naTerritories,naAll,,,,,,
Argentina.svg,,Argentina,,sa,,saTerritories,saAll,,triband,,,,
Armenia.svg,,Armenia,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,
Australia_(converted).svg,,Australia,,oceania,,oceaniaTerritories,oceaniaAll,,unionJack,canton,star,,rwb
Austria.svg,,Austria,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,
Azerbaijan.svg,,Azerbaijan,,europe,europeDisputed,europeTerritories,europeAll,,triband,,star,,
Bahamas.svg,,Bahamas,,na,,naTerritories,naAll,,,,,,
Bahrain.svg,,Bahrain,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,
Bangladesh.svg,,Bangladesh,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,
Barbados.svg,,Barbados,,na,,naTerritories,naAll,,,,,,
Belarus.svg,,Belarus,,europe,europeDisputed,europeTerritories,europeAll,,,,,,
Belgium.svg,,Belgium,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,
Belize.svg,,Belize,,sa,,saTerritories,saAll,,,,,emblem,rwb
Benin.svg,,Benin,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Bhutan.svg,,Bhutan,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,
Bolivia.svg,,Bolivia,,sa,,saTerritories,saAll,,triband,,,,
Bosnia_and_Herzegovina.svg,,Bosnia and Herzegovina,,europe,europeDisputed,europeTerritories,europeAll,,,,star,,
Botswana.svg,,Botswana,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Brazil.svg,,Brazil,,sa,,saTerritories,saAll,,,,star,,
Brunei.svg,,Brunei,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,emblem,
Bulgaria.svg,,Bulgaria,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,
Burkina_Faso.svg,,Burkina Faso,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Burundi.svg,,Burundi,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Cambodia.svg,,Cambodia,,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,,rwb
Cameroon.svg,,Cameroon,,africa,africaDisputed,africaTerritories,africaAll,,triband,,star,,
Canada.svg,,Canada,,na,,naTerritories,naAll,,,,,,
Cape_Verde.svg,,Cape Verde,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Central_African_Republic.svg,,Central African Republic,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Chad.svg,,Chad,,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,
Chile.svg,,Chile,,sa,,saTerritories,saAll,,,canton,star,,rwb
Colombia.svg,,Colombia,,sa,,saTerritories,saAll,,triband,,,,
Comoros.svg,,Comoros,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Costa_Rica.svg,,Costa Rica,,na,,naTerritories,naAll,,,,,,rwb
Croatia.svg,,Croatia,,europe,europeDisputed,europeTerritories,europeAll,,triband,,star,emblem,rwb
Cuba.svg,,Cuba,,na,,naTerritories,naAll,,,,star,,rwb
Cyprus.svg,,Cyprus,,europe,europeDisputed,europeTerritories,europeAll,,,,,,
Czech_Republic.svg,,Czech Republic,,europe,europeDisputed,europeTerritories,europeAll,,,,,,rwb
Democratic_Republic_of_the_Congo.svg,,Democratic Republic of the Congo,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Denmark.svg,,Denmark,,europe,europeDisputed,europeTerritories,europeAll,,,,,,
Djibouti.svg,,Djibouti,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Dominica.svg,,Dominica,,na,,naTerritories,naAll,,,,star,,
Dominican_Republic.svg,,Dominican Republic,,na,,naTerritories,naAll,,,,,emblem,rwb
East_Timor.svg,,East Timor,,oceania,,oceaniaTerritories,oceaniaAll,,,,star,,
Ecuador.svg,,Ecuador,,sa,,saTerritories,saAll,,triband,,,,
Egypt.svg,,Egypt,,africa,africaDisputed,africaTerritories,africaAll,,triband,,,emblem,
El_Salvador.svg,,El Salvador,,sa,,saTerritories,saAll,,triband,,,emblem,
Equatorial_Guinea.svg,,Equatorial Guinea,,africa,africaDisputed,africaTerritories,africaAll,,,,star,emblem,
Eritrea.svg,,Eritrea,,africa,africaDisputed,africaTerritories,africaAll,,,,,emblem,
Estonia.svg,,Estonia,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,
Eswatini.svg,,Eswatini,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Ethiopia.svg,,Ethiopia,,africa,africaDisputed,africaTerritories,africaAll,,triband,,star,emblem,
Fiji.svg,,Fiji,,oceania,,oceaniaTerritories,oceaniaAll,,unionJack,canton,,emblem,rwb
Finland.svg,,Finland,,europe,europeDisputed,europeTerritories,europeAll,,,,,,
France.svg,,France,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,rwb
Gabon.svg,,Gabon,,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,
Georgia.svg,,Georgia,,europe,europeDisputed,europeTerritories,europeAll,,,,,,
Germany.svg,,Germany,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,
Ghana.svg,,Ghana,,africa,africaDisputed,africaTerritories,africaAll,,triband,,star,,
Greece.svg,,Greece,,europe,europeDisputed,europeTerritories,europeAll,,,canton,,,
Grenada.svg,,Grenada,,na,,naTerritories,naAll,,,,star,,
Guatemala.svg,,Guatemala,,sa,,saTerritories,saAll,,triband,,,emblem,
Guinea.svg,,Guinea,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Guinea-Bissau.svg,,Guinea-Bissau,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Guyana.svg,,Guyana,,sa,,saTerritories,saAll,,,,,,
Haiti.svg,,Haiti,,na,,naTerritories,naAll,,,,,emblem,rwb
Honduras.svg,,Honduras,,na,,naTerritories,naAll,,triband,,star,emblem,
Hungary.svg,,Hungary,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,
Iceland.svg,,Iceland,,europe,europeDisputed,europeTerritories,europeAll,,,,,,rwb
India.svg,,India,,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,,
